,id,type,price,number,order date
0,6L4LAJ4YB,office supplies,195.10 ,7.00 ,2018/6/5
1,12C4RVR22,digital,827.20 ,5.00 ,2017/7/14
2,SJTD1EN38,clothes,417.25 ,0.00 ,2021/9/24
3,UF1Q4XW8N,digital,257.08 ,6.00 ,2016/7/9
4,JYXB439CJ,food,146.49 ,1.00 ,2018/3/16
5,WGN849I6S,office supplies,36.30 ,6.00 ,2021/3/25
6,JV0R95OOM,office supplies,54.52 ,9.00 ,2021/11/20
7,SGRM020TA,clothes,251.54 ,9.00 ,2021/3/4
8,CMFKWBCU7,daily use,754.76 ,4.00 ,2019/5/30
9,61Q3JNO13,daily use,283.57 ,1.00 ,2019/8/30
10,UZ7MTGIBJ,office supplies,874.34 ,1.00 ,2016/7/31
11,QZ0N7GUQG,sports,991.64 ,7.00 ,2015/3/22
12,ML0V97W72,digital,810.79 ,9.00 ,2019/9/13
13,PT9MIMUG2,daily use,374.26 ,0.00 ,2020/6/6
14,DXDB2QSPV,daily use,480.80 ,6.00 ,2017/12/22
15,T7D6LGHEA,daily use,814.70 ,6.00 ,2018/6/16
16,O91CGSOG4,office supplies,315.90 ,7.00 ,2020/11/15
17,1OFAJ13MG,clothes,327.03 ,8.00 ,2015/3/9
18,S6ZAWGAZT,sports,505.45 ,10.00 ,2016/12/29
19,ZSNABZSAO,daily use,824.32 ,4.00 ,2018/12/16
20,DWW343RJM,clothes,709.81 ,0.00 ,2020/5/29
21,01LT8KIVP,daily use,145.94 ,1.00 ,2018/1/6
22,B5T1ZU44U,sports,620.62 ,7.00 ,2021/4/15
23,6K1PKBAL3,digital,697.74 ,10.00 ,2018/8/19
24,XGZU3WOC5,food,661.01 ,6.00 ,2016/11/21
25,I4IX4VOPR,daily use,437.13 ,3.00 ,2020/1/14
26,Z0PB28ME2,clothes,509.90 ,1.00 ,2019/6/3
27,ICL1MTY2W,daily use,267.29 ,0.00 ,2015/9/20
28,F3R7APSMK,digital,739.06 ,6.00 ,2017/1/25
29,3DKVXRV31,food,674.18 ,7.00 ,2016/9/4
30,CVX3UKB0O,sports,713.84 ,9.00 ,2019/9/10
31,86OQFBL67,food,758.49 ,6.00 ,2016/1/4
32,3VK6491SZ,daily use,43.44 ,6.00 ,2020/1/2
33,ETA6LVBPH,clothes,872.27 ,5.00 ,2016/9/10
34,XM5BOOLC5,digital,370.89 ,3.00 ,2017/9/11
35,IJQR7IIUS,digital,960.33 ,10.00 ,2015/10/27
36,GS9J6CS19,food,701.92 ,0.00 ,2018/2/1
37,MNV0MK7BK,office supplies,702.50 ,8.00 ,2020/6/25
38,9DSNXPK66,sports,455.79 ,3.00 ,2018/10/4
39,7TFSUQGAB,clothes,814.95 ,0.00 ,2017/3/16
40,Z1WVNMNAS,sports,39.76 ,2.00 ,2017/11/11
41,182RGLW0Q,office supplies,564.29 ,3.00 ,2020/9/4
42,J12O0SQY8,sports,858.45 ,3.00 ,2021/9/23
43,C08K9XMB1,daily use,569.87 ,3.00 ,2016/7/27
44,YXPKHTUNT,office supplies,1.37 ,6.00 ,2021/7/27
45,IIRTERWIJ,office supplies,298.29 ,5.00 ,2018/2/7
46,XSPWQIHT1,clothes,379.08 ,3.00 ,2019/5/13
47,A5ETVOTPB,office supplies,283.41 ,4.00 ,2018/12/21
48,CA60W2T37,sports,123.68 ,9.00 ,2020/3/26
49,T82WQOLO3,digital,802.38 ,3.00 ,2019/6/12
50,W1I2ITQ4Y,daily use,623.18 ,2.00 ,2020/8/11
51,SIRISYI2N,sports,224.07 ,9.00 ,2016/1/9
52,07ZE2BVTN,office supplies,26.60 ,9.00 ,2016/5/5
53,FDMZXEPEI,office supplies,654.26 ,3.00 ,2019/12/28
54,F7Y23KL7M,digital,599.78 ,3.00 ,2017/7/30
55,NR3ABXHA5,daily use,509.45 ,7.00 ,2018/12/24
56,PWZKT0LGL,sports,477.45 ,3.00 ,2020/8/20
57,6AMPSFMVQ,digital,103.52 ,2.00 ,2018/7/26
58,UKHB3JRTC,clothes,856.65 ,10.00 ,2016/3/30
59,PBDVZYEP0,office supplies,81.18 ,3.00 ,2015/2/9
60,4B7GIBU1F,digital,168.32 ,8.00 ,2019/10/9
61,8S05OEQLL,sports,435.85 ,9.00 ,2015/3/5
62,IC16E6FCO,daily use,286.06 ,5.00 ,2020/11/20
63,6CA38CMER,sports,124.42 ,1.00 ,2021/12/23
64,CXD3AXFM9,digital,485.10 ,9.00 ,2015/10/9
