,id,price,order date,in time
0,ANYQSGCP0,845.1,2020-02-04,yes
1,I9Z5T2JKG,589.37,2015-11-23,no
2,7P6OG26NA,38.12,2015-12-30,yes
3,Y86TQ98I5,677.33,2017-08-08,no
4,EAFMMCJIA,790.39,2017-07-27,no
5,6ID9NMVS0,0.1,2017-05-22,yes
6,60WDZC2SH,840.83,2016-04-11,no
7,VTTLAXIV5,758.35,2019-08-23,no
8,AV3XC9HED,553.62,2020-04-14,yes
9,ZGY7GQIQX,559.42,2021-02-09,no
10,ZAORUPY7T,431.16,2019-03-06,yes
11,8XP27DOQS,483.6,2016-07-22,yes
12,0FM6X3BPX,464.06,2017-02-17,yes
13,YG4JORR4J,506.95,2020-10-09,yes
14,UTY8I9TOS,98.97,2017-12-07,yes
15,8K7V5D1Z4,244.17,2015-01-14,no
16,YYMJJHRLG,375.96,2015-09-11,yes
17,C2APAOUJC,222.85,2015-08-29,yes
18,DNTT548E4,773.46,2021-10-17,yes
19,JXCU10FO2,755.78,2017-04-17,yes
20,EU63O6ZZ9,926.44,2021-02-21,yes
21,O2ES6WN4A,59.61,2019-10-22,yes
22,IZ4Q82NVV,551.78,2020-08-26,yes
23,2MPC17ORF,925.38,2015-02-14,no
24,OBQ37SH9Y,912.49,2017-08-02,yes
25,KZ42NERTF,857.17,2015-10-06,no
26,S7GUII9UG,868.48,2018-07-24,no
27,WP4O5SS1M,740.79,2021-04-03,no
28,6TTO6FFO8,607.98,2016-11-09,yes
29,CFA6SIRJN,81.49,2015-01-17,yes
30,KEGS75OTL,529.15,2016-06-22,yes
31,1TZHXMFXX,901.61,2018-08-20,no
32,X0TLFXYM2,310.64,2020-05-31,no
33,S7LSCNWLQ,299.67,2021-11-21,no
34,0VSYX5D4Q,951.31,2015-04-23,yes
35,P58FK186G,389.92,2019-01-23,yes
36,U80W24TNZ,264.98,2015-05-24,yes
37,WNDOMI0ZF,626.12,2016-01-25,yes
38,XMDQHCAZY,910.06,2020-12-29,no
39,N8XXAGBRS,847.76,2016-03-31,no
40,VQUKGAS6A,233.23,2017-08-15,no
41,C7ONX2N0W,807.89,2021-03-18,yes
42,HVF13OR96,993.78,2015-03-12,no
43,WOLF4U56F,25.94,2016-04-07,no
44,P18FIHI29,244.53,2019-10-26,yes
45,QP5B08IDF,289.28,2018-02-17,no
46,A6PX4LR2N,680.99,2016-08-09,no
47,DA2226MTJ,1.63,2019-11-17,yes
48,CSNUC1BY6,590.07,2016-11-16,yes
49,OS13KDLAK,453.93,2018-01-10,yes
50,IAVT3A3G3,261.14,2019-10-22,no
51,CF30RLG1O,950.85,2019-05-22,yes
52,XWSXRPG9B,636.44,2019-06-08,yes
53,SMKDE7POT,791.97,2016-04-29,yes
54,POSUBR1R8,201.88,2019-10-14,no
55,U03R4MXXZ,677.52,2021-10-03,no
56,RNN09X6ZA,488.05,2021-06-04,no
57,3UH9FHJKH,278.68,2016-09-18,no
58,U5VA96QGY,365.14,2016-07-14,yes
59,0HO3G2WYH,921.98,2020-05-23,yes
60,Q1FXB9DGR,913.24,2017-11-16,yes
61,Y38YAQDTY,709.72,2017-06-07,no
62,TKTMU76ZV,884.24,2016-12-23,no
63,CBIIVI1XS,499.11,2020-09-26,no
64,5XSRTCIS6,65.45,2017-09-14,yes
65,8DCN3DJY4,634.84,2016-05-25,no
66,QI14MSL47,509.79,2020-06-24,yes
67,ZHA1ZH018,782.39,2019-04-26,yes
68,CKJO7IGAQ,870.51,2015-07-09,no
69,MQJ8UQUTK,962.53,2020-02-19,yes
70,P2JU4TKI6,741.99,2017-12-04,no
71,KFFWO5UP0,564.35,2017-12-20,no
72,15RMNWOYU,98.86,2015-01-23,no
73,N117RC5S6,445.57,2017-02-05,no
74,WUO95FSMS,684.95,2017-07-10,no
75,PYRO4M9KS,250.41,2016-12-15,no
76,B4A261CXF,848.55,2015-12-06,yes
77,7DO78TTF9,131.45,2020-02-10,no
78,B2J9WC34C,582.33,2020-04-08,yes
79,41FZJ3JOM,652.87,2015-02-28,yes
80,S4MFRP517,792.3,2016-04-07,no
81,VLPOWNTCU,73.49,2018-07-17,yes
82,CYUUGUZHB,453.67,2015-07-30,yes
83,JVF30VTVH,598.13,2020-01-25,no
84,CNT3T72SB,999.43,2020-06-11,yes
85,CS2PDEJMN,177.95,2018-02-27,yes
86,AVQFPPCCQ,641.36,2020-08-03,yes
87,5N0RF0S5E,258.36,2016-01-13,no
88,LTEPTGD4T,828.79,2021-06-12,yes
89,1YV98SEPN,250.34,2021-06-06,yes
90,K2S95I8NG,709.71,2018-11-20,yes
91,SQXWSFGWT,983.5,2015-12-15,no
92,UEZHQUQN9,3.73,2020-11-14,no
93,QQ4BLK9I8,335.51,2020-06-11,yes
94,35YE1C29A,222.61,2021-02-01,yes
95,X69Z02UH0,18.89,2015-08-21,yes
96,G48VCOSVI,668.86,2019-11-26,yes
97,UQMEAF7VP,949.45,2019-06-08,no
98,5QUBFPP39,800.34,2018-10-02,yes
99,7AINETAMG,263.09,2016-08-06,yes
100,VAA8RHPBP,386.77,2019-08-29,no
101,APGSEUZHX,331.75,2019-12-30,yes
102,RDOJXPSVP,987.29,2017-02-24,yes
103,0ML0JGTPE,977.62,2017-06-19,yes
104,ER3B1VZ4A,679.12,2018-10-26,yes
105,LIKX9VXO4,837.8,2017-07-08,no
106,ERSCOQU9A,202.69,2020-06-24,no
107,X678WMMZQ,20.25,2021-07-06,yes
108,ZGIS80V18,779.95,2018-07-13,yes
109,QH3BLUY8J,988.32,2019-06-19,yes
110,NQO2HM8JP,630.78,2015-04-06,no
111,5W4ITA69Q,439.33,2016-11-20,no
112,I3KAJ9RJS,199.58,2021-06-12,yes
113,89VPRN0D3,276.97,2018-09-15,yes
114,OE53GGRK4,369.7,2021-04-01,no
115,4J89PSZGZ,974.29,2020-10-21,no
116,E7CZEB7RF,692.46,2019-07-16,no
117,37XLQF7F9,613.66,2019-02-09,yes
118,WNV4Z8COK,823.43,2019-08-18,no
119,PVBDWQSYS,471.3,2018-10-25,yes
120,476TKTSA0,298.09,2017-08-14,no
121,J33K90YS7,651.73,2015-10-28,yes
122,H8D2789E2,433.28,2018-04-28,yes
123,QN2VPOMZT,181.2,2019-12-26,yes
124,LWZB0LYKT,327.68,2021-12-25,no
125,DY717XF52,539.04,2015-07-12,yes
126,9SVU8ZGVD,377.72,2015-11-20,no
127,FNXY7XU5O,945.68,2021-07-16,no
128,M3TWO0QT0,350.84,2018-09-27,no
129,98WM4P2C3,465.88,2018-03-18,yes
130,HNXNIIPBI,170.95,2021-04-03,no
131,TDQY4E7Z2,34.27,2016-08-01,yes
132,T5L8PC62G,137.77,2016-03-05,yes
133,QD0V6SVQG,769.63,2016-02-09,no
134,XBQAOOLWU,609.95,2021-01-11,yes
135,VF5HDTGHD,822.09,2015-12-14,yes
136,CSYP8UTUI,311.29,2018-11-28,no
137,FNHVRF8HL,53.55,2019-05-25,yes
138,1M6VGV41R,612.19,2021-12-16,yes
139,4O4BIKMOC,0.16,2019-12-19,no
140,FJHXBX6SO,483.72,2021-03-13,yes
141,XC7Z6FCF4,33.19,2016-10-05,no
142,7W0GSBKVK,166.9,2021-09-07,yes
143,5BGKJ3JIC,149.88,2018-04-20,no
144,MPB0PA0CB,971.74,2020-12-10,yes
145,48B8LZHOQ,850.74,2018-06-25,no
146,KYIEVRBOM,187.59,2021-09-18,yes
147,3AU74AYXX,593.77,2015-07-18,yes
148,XQAVJH0LM,760.63,2015-08-09,no
149,V7FRE1CWM,573.11,2017-02-19,no
150,36SAUGFSM,767.19,2018-03-09,no
151,PEKZZ3ZX9,609.79,2019-03-06,yes
152,2DXVGOJNR,449.49,2019-05-23,no
153,DBID6TVTQ,284.64,2015-01-03,yes
154,E5IV1PBUF,641.79,2016-04-03,no
155,6W7QISRFG,701.33,2016-05-06,yes
156,3F45AJUTZ,388.64,2017-11-09,yes
157,MI4SZPNMN,164.51,2019-04-10,no
158,A8M66LKT6,49.15,2019-11-20,no
159,UJAN8FQ3C,455.23,2019-02-18,no
160,N5L278852,236.12,2015-09-25,no
161,E1H7B6ITG,213.64,2019-01-18,yes
162,M9SYY09DJ,0.98,2019-02-27,yes
163,EKMKLW31G,782.01,2021-11-22,yes
164,ZERM5FUBU,358.63,2015-10-06,yes
165,5B8RI2I9O,729.89,2019-03-25,yes
166,O6WGZHNQ7,575.17,2021-12-01,no
167,9JZAVH3UU,493.9,2018-07-17,no
168,DWIBXHOWH,187.6,2020-11-24,no
169,18KH6S4QW,177.77,2015-06-03,no
170,6VN8N6HFQ,304.34,2020-05-10,yes
171,ZMGSK7YRV,820.53,2015-07-26,yes
172,ODSQ8QSC0,675.53,2017-01-28,yes
173,CUFEJ9MEG,64.79,2016-12-09,yes
174,25AAK317H,571.13,2021-11-11,no
175,REPPRTCQ2,978.21,2016-05-04,no
176,3SBMIPKNL,59.63,2015-11-15,yes
177,Q16WJR25M,901.29,2018-04-16,yes
178,4MN5897R6,23.15,2021-05-21,no
179,9SSJVIA98,175.35,2020-02-15,yes
180,UN5G6VZTE,825.08,2018-06-16,yes
181,OLE8LVWDY,224.41,2016-02-04,no
182,2HKB9K1XD,556.16,2019-07-28,no
183,5WX9EUC60,371.14,2015-05-04,yes
184,W4S31NKOW,35.06,2018-10-28,no
185,MR9HZTSJR,631.38,2015-08-15,yes
186,FYDOM2HD9,519.55,2021-08-17,no
187,U1BQTW35P,725.29,2021-07-13,yes
188,WJBI7J0EP,779.57,2018-05-13,yes
189,64LQNV8CR,306.01,2017-02-01,no
190,0Y5S3I2H7,256.73,2017-02-10,yes
191,Q8ZIP85O2,411.29,2018-01-23,yes
192,ZDPMRERUS,747.61,2018-03-30,yes
193,D9LFODV0P,933.45,2021-08-02,yes
194,M9HAUH14Q,549.69,2019-09-06,no
195,TS3FAH44S,627.97,2021-03-11,no
196,QOP8LIADQ,487.26,2019-09-29,no
197,1HNP1PF2K,979.21,2015-03-15,no
198,BG34Y47C0,368.09,2018-06-19,yes
199,C1182A6AI,129.54,2016-05-28,yes
200,F5WY2T7VY,537.57,2015-12-18,no
201,4COTAE0RB,48.62,2016-10-26,no
202,TDOGOM47F,845.66,2018-12-14,no
203,Y5U6RW16B,740.71,2020-12-07,yes
204,YDJN2H3WZ,48.9,2016-10-12,yes
205,0EZRHO904,641.71,2015-06-21,yes
206,LXNPSRU7Y,431.69,2020-07-16,yes
207,9GZKCLPAU,111.68,2018-12-07,no
208,OA1MD9MZL,759.73,2018-11-09,yes
209,HUGZ657XO,3.34,2016-12-05,no
210,5BTFMGP1A,701.7,2018-01-08,no
211,B4YJSGE9G,827.65,2017-09-04,yes
212,RV7QESKDW,208.14,2015-12-17,yes
213,1N85PET1B,127.23,2020-03-07,yes
214,V9K4KVNKF,494.72,2019-03-26,yes
215,LVDU6Y3QU,545.68,2020-12-28,yes
216,T9TVY9GQS,720.28,2018-06-06,no
217,JY9L7Q2MN,319.02,2015-07-07,no
218,L9E0FKNUS,409.98,2020-05-31,yes
219,1OG3WMBVT,668.92,2018-02-07,yes
220,7JVUNK3D0,364.28,2019-11-05,no
221,7DZY3GOY7,768.27,2016-06-17,no
222,PCZ11PCF2,80.57,2016-04-23,no
223,VQ9ZIX522,60.96,2019-10-10,no
224,82PDQK92Q,346.3,2017-09-07,yes
225,810V7UYN4,10.42,2019-04-14,yes
226,6EX46GSAU,25.42,2020-02-08,no
227,91TSVEUU3,864.53,2019-06-11,no
228,B22D2TC2B,116.21,2020-05-30,yes
229,UULQ9BLOQ,45.61,2021-05-22,yes
230,M3CJ8HYP8,192.04,2021-07-21,yes
231,TMN3ZA733,320.71,2021-02-11,no
232,SPZR15ZTA,401.44,2018-06-14,yes
233,8C28A3NHX,646.55,2015-03-06,yes
234,634N2BXOO,694.05,2019-12-13,no
235,G8MU8JOYH,759.65,2017-08-25,yes
236,2GITN4711,730.25,2021-06-30,yes
237,P7D16NY3V,589.3,2018-05-30,no
238,7S16F8FXD,337.4,2021-10-01,yes
239,CXBLTKT0X,604.89,2018-12-25,yes
240,JM9QG6PFW,226.13,2017-12-19,yes
241,Q741JW00M,383.54,2021-10-15,no
242,K2L9O11D3,664.13,2020-09-01,yes
243,WV2P0F5CC,561.01,2018-12-19,no
244,JEHTRGMLT,691.55,2015-03-26,yes
245,IDI50ZXK6,275.47,2016-12-01,no
246,3FX3EOJDK,896.09,2017-07-15,no
247,BAB3HDGK2,156.42,2020-08-20,no
248,V5UDU23HE,780.51,2017-09-20,no
249,14YQ68XVO,515.97,2015-11-24,yes
250,Y74CKSGWT,310.22,2021-05-21,no
251,FMS6CWPDQ,98.92,2019-05-01,no
252,M3FO3NZCG,347.78,2021-10-22,no
253,S2R1PA8JM,431.63,2017-11-25,yes
254,F321W280X,857.62,2018-08-05,yes
255,11PLFKZUD,406.51,2021-12-04,no
256,Y6H5JBCUX,583.4,2016-03-10,yes
257,TWQ6TGHRC,120.26,2020-03-06,no
258,G9U712IKR,675.01,2019-02-06,no
259,CUK6D6TLL,605.37,2021-09-08,no
260,CWKTX647D,824.49,2021-06-21,no
261,JVLF3RDG7,265.43,2019-11-02,no
262,K54LRUM7E,98.68,2015-01-25,yes
263,J9QZVFUYH,771.67,2021-05-23,yes
264,JOU2EX6UH,389.68,2019-08-22,no
265,XG57H3H1P,328.43,2020-06-16,no
266,VCD9DRISK,86.05,2019-12-13,no
267,VBGIDXJ0W,814.74,2020-04-29,no
268,SK0IG1CRT,823.4,2017-06-03,no
269,XCO3SGMBF,125.87,2015-02-20,yes
270,A392TPUJ2,669.24,2017-11-13,yes
271,SOIGSVNRM,296.38,2021-03-07,no
272,RUE1VZNYG,373.78,2019-01-30,yes
273,FHAG1G6H6,691.33,2016-01-28,yes
274,SZ482BBN1,303.56,2015-09-16,yes
275,OSOB3WLIE,170.8,2020-07-17,yes
276,X8JE4186S,176.7,2018-04-22,yes
277,CI2NPWFSC,902.26,2021-07-26,yes
278,3QX8KS1TT,643.39,2017-01-12,no
279,AAFOPJERB,599.56,2017-04-02,yes
280,GTWG5L76C,47.86,2018-12-31,yes
281,TUNWD1UQS,190.02,2019-02-11,no
282,B1TB37BB8,725.14,2015-10-25,yes
283,MW6XA5876,11.41,2018-06-26,yes
284,WSXKNORVG,193.49,2016-01-31,yes
285,D3V7LQCFN,516.44,2015-05-28,no
286,FDCLGJ678,517.85,2019-12-15,no
287,6XL5YIF3V,904.3,2021-02-20,no
288,0KB0FL8ZX,8.11,2019-01-20,no
289,QR0CILB2B,411.65,2015-05-31,yes
290,2QA4DV2Z6,355.56,2017-08-12,no
291,GR0LK0KU6,120.43,2016-05-19,no
292,2WNO8N4QT,183.65,2015-03-01,no
293,R5SZWFW60,753.03,2016-09-21,yes
294,OJ6CR1FDF,678.56,2020-10-05,no
295,YJBGSLVGN,381.26,2015-01-07,yes
296,1IA9STJMP,305.74,2016-07-24,no
297,HI1XEMDCU,372.0,2020-09-13,yes
298,5MPAMMQRJ,633.15,2017-03-12,yes
299,BRQXKUCW8,740.96,2015-03-20,yes
300,2KLEXEOIW,404.05,2018-02-06,yes
301,DPBLFOLNI,641.13,2017-10-02,yes
302,MNNJWY5XZ,830.26,2019-01-01,yes
303,XZYUPGII7,268.53,2017-04-11,no
304,G70MRENUX,539.17,2018-12-13,yes
305,P9KJC94L9,444.65,2017-12-31,yes
306,L8P466J6F,304.25,2018-09-25,yes
307,S5A1XGDBC,95.05,2015-01-06,no
308,TRXVI86RP,267.26,2021-03-09,yes
309,0YVGQPYGU,831.98,2019-10-23,no
310,VET5XGYX9,466.84,2018-03-08,no
311,FA4B52M5K,101.18,2018-03-29,no
312,1C00JWBWG,760.38,2017-11-15,yes
313,B1RWLYHBM,760.05,2019-10-08,no
314,8QFRIMP6Z,121.25,2017-01-30,no
315,9G2PJQL2S,22.66,2017-05-25,no
316,PROKDYT5O,171.77,2021-12-28,yes
317,CDVY94UUR,378.42,2021-12-18,yes
318,OZEIUM4JX,168.71,2021-08-15,yes
319,YQ0HEURNS,318.64,2018-12-03,yes
320,NYE102NJT,59.8,2018-05-26,yes
321,83SIN5AUQ,151.91,2015-07-26,yes
322,31O5KWF1Q,250.97,2019-03-30,no
323,V0P0UTK33,629.43,2015-04-12,yes
324,ZGNJP4YGZ,169.14,2016-03-24,yes
325,AXEH13RCR,639.99,2018-07-27,yes
326,N52QTOTSE,203.05,2021-09-05,yes
327,UZD7MMJYP,880.03,2020-04-24,no
328,US9BHOF6U,470.76,2016-02-27,no
329,RBKC7IUK8,562.82,2021-09-08,no
330,X6MDPAP82,220.42,2020-02-17,no
331,E0GL3H98D,897.62,2021-09-15,yes
332,LYI5GAL8M,911.26,2020-07-23,yes
333,G32XMJQ99,16.29,2016-05-02,no
334,GAD2389D0,72.48,2021-08-26,yes
335,HEDJ6U0WP,210.39,2018-10-12,yes
336,MO21CCCKT,462.76,2021-06-05,no
337,96APBWFCF,521.12,2021-07-07,yes
338,XZ5ADN06Z,222.46,2021-04-18,no
339,2F028HH3E,36.64,2020-09-12,yes
340,P35IZYRBY,490.92,2016-11-13,yes
341,KX1FWHP4F,118.01,2018-04-25,yes
342,7JNJVEYFX,421.3,2018-03-29,no
343,VF8QZBMIG,685.29,2021-10-23,yes
344,5S63LXSJ3,691.58,2017-09-12,yes
345,38AH1T296,827.5,2017-06-20,yes
346,8S55M9WLF,524.45,2019-01-20,no
347,Z56EZFABI,707.68,2021-12-08,no
348,N4K5F97C8,595.05,2015-11-19,yes
349,I2745O84P,412.04,2016-04-17,yes
350,HI0SPFDD3,10.07,2020-06-23,no
351,HVDDCDBIL,116.72,2019-06-07,no
352,C8RIVZUGX,866.08,2015-08-05,yes
353,A1CZAQH91,727.29,2018-07-24,yes
354,54F22EBN0,849.31,2020-08-29,yes
355,XTEBU846N,937.43,2015-04-16,no
356,K8O56Q7AB,878.2,2019-05-11,no
357,FQ1ULQHBL,858.55,2015-01-25,no
358,WTF9X20HF,784.96,2021-04-26,no
359,GAQKUHTZZ,731.53,2016-10-25,no
360,S2W1OSQ06,765.05,2019-11-26,no
361,82I8TLPIG,250.7,2015-10-17,no
362,M1M1ULNB1,978.19,2019-07-26,no
363,HCTM8Z3S0,716.4,2019-04-29,yes
364,QU8QZMCHD,924.17,2018-09-03,no
365,DPOOAUQ1I,708.75,2016-05-13,no
366,FKAD89YH6,938.09,2016-08-17,yes
367,B1626QNLI,854.61,2020-10-21,no
368,IWW2XT47G,981.81,2019-11-07,no
369,ZBCS208TY,140.19,2016-11-17,no
370,I0KN3EJRQ,11.01,2019-09-25,yes
371,ZLG0O1B1G,934.91,2015-12-23,no
372,8HMJ6HVDF,562.74,2017-03-19,yes
373,B00569WXY,520.77,2018-10-28,no
374,1WJM809ET,525.72,2018-08-21,yes
375,8YW8FSE8U,211.66,2019-06-15,yes
376,H3YYGKSSF,639.88,2021-04-21,no
377,LJYGHFBK4,853.67,2020-07-24,yes
378,YEXXS7RIT,577.79,2020-02-20,no
379,KGDA4P9PU,402.82,2018-12-21,yes
380,RVZWQDTH1,420.62,2021-05-26,no
381,JTZ0ZBBD7,829.11,2019-04-13,yes
382,NWJT35A9U,497.66,2020-08-07,yes
383,XWDN3ZFRI,638.19,2017-10-05,no
384,H91R9TAWE,747.72,2021-06-12,yes
385,YHWWQJ04H,475.3,2016-08-16,no
386,GEVY6ILOW,478.26,2016-04-29,yes
387,QWC26RWXK,431.18,2020-07-26,yes
388,VTTSYC1WN,818.46,2016-08-16,yes
389,1AI1ZM0F0,944.11,2018-10-15,yes
390,4ESQXO9HT,41.84,2018-03-09,no
391,RV8FC7VE7,658.74,2020-05-02,no
392,T6CCC49ME,906.63,2017-05-30,no
393,JX7JZ53UU,144.3,2021-12-05,no
394,QEXIKSJIV,323.09,2020-12-25,yes
395,7BTJRWQQX,465.27,2015-09-08,no
396,RX5CU36TV,577.28,2020-08-13,no
397,396VKSU88,317.52,2017-05-01,yes
398,RN6HPR5QR,351.95,2016-12-04,no
399,HVULF9GMV,907.71,2017-06-30,yes
400,Q60PSP1TS,156.34,2017-03-07,yes
401,FXFFQS1MH,816.57,2018-07-21,yes
402,OJ5XXJ7Q5,946.52,2016-02-12,no
403,62WLIY4XY,373.85,2021-11-29,yes
404,60FQ9G7QZ,294.34,2021-02-24,no
405,KMFV5SANG,206.23,2017-07-11,no
406,SAFJOS7F5,471.95,2015-10-07,no
407,PV0ORJDHN,560.21,2016-04-17,no
408,KA5B2EUE9,460.99,2018-07-05,no
409,WLVYWFZS0,819.26,2017-12-28,yes
410,2B3J5RU2S,94.81,2015-12-20,no
411,DRJTD1O9C,137.92,2015-11-16,yes
412,RBGV6BGDI,243.92,2017-04-03,no
413,Z7HL751J2,965.71,2015-08-26,yes
414,4KD6S7970,638.01,2018-03-15,no
415,DKL6DI3XN,662.28,2021-11-01,yes
416,YYVU0SMIU,103.46,2017-01-11,yes
417,3SMLFQP03,597.21,2017-05-09,yes
418,OCCVTORZD,973.47,2017-11-22,yes
419,WFTZU9GVO,186.42,2021-10-15,yes
420,N9CW4A8W9,557.98,2015-10-25,no
421,DODB3ZKCJ,521.01,2019-08-03,no
422,4QEBE12Y8,930.4,2015-11-21,no
423,4Z6B47VC5,543.26,2017-10-07,no
424,9QS2OBQ5I,717.85,2019-02-12,no
425,CU6BIM3I1,440.67,2021-03-08,yes
426,HP1W8YXV2,765.41,2017-11-13,yes
427,UE11RKTWW,297.75,2019-01-24,no
428,NXJ8MRSDM,13.02,2017-10-06,no
429,LXD2SP1TO,776.83,2017-01-04,no
430,KNVY6WPDF,175.37,2019-03-16,yes
431,B4KZLZS5U,641.07,2020-12-07,yes
432,95F9ZUQ8L,920.28,2019-05-22,yes
433,0PY7L5CMA,9.61,2015-12-24,yes
434,MXROCL3MR,49.39,2017-02-28,yes
435,HQQOTZNX3,879.89,2015-04-07,yes
436,33AZW74NM,719.17,2021-09-27,no
437,837OB90GC,730.58,2019-05-19,no
438,WPPYQSGUB,74.67,2016-06-14,yes
439,0VS5VW4K8,342.53,2018-09-20,no
440,RPSSYO3FI,230.92,2020-04-08,no
441,B2JGHNK5S,858.72,2018-12-22,yes
442,LGRY6H25R,529.82,2015-08-30,no
443,EON6FIAID,729.14,2019-05-05,yes
444,WTUHWGU5H,218.65,2016-01-18,yes
445,YJKRLJDGR,888.08,2021-10-26,no
446,OLSM7TOBN,52.94,2015-11-06,yes
447,UP5VVQFWD,253.22,2016-04-06,no
448,RWBY5TJJG,723.08,2015-07-30,yes
449,C75TZQ1W9,844.73,2021-11-17,no
450,ZU4KRIQ0D,620.42,2021-10-09,no
451,B2H5XYC3V,661.76,2016-08-25,no
452,8E0QRIZWX,398.92,2021-02-06,yes
453,KZYWF5BTF,548.45,2017-04-02,yes
454,K7WUS9103,797.68,2017-12-21,no
455,RBOV2I1QO,505.55,2017-05-02,no
456,J3GFQURW4,843.74,2021-02-08,no
457,WR5YFYFEC,927.7,2017-08-31,no
458,QYZEIM6C9,69.17,2019-02-23,no
459,RWF5CC0N4,543.2,2018-12-12,no
460,GUNR2P1IQ,835.6,2020-09-13,no
461,6NLQNZKZR,564.98,2018-02-06,no
462,CJV28N3CY,473.23,2018-02-25,no
463,PJ8PRHV06,642.08,2015-06-01,yes
464,93TIKT6JD,382.97,2020-03-16,yes
465,I9J092BH7,303.99,2018-06-22,no
466,Q2TO5F35N,936.42,2017-10-05,yes
467,JLJNV45ZM,251.92,2015-06-14,no
468,7H460PMPG,8.35,2016-03-06,no
469,ZGW8251IP,155.3,2015-02-10,no
470,0R3IJ0OBG,439.84,2019-08-14,no
471,5JQAWCRC0,622.06,2021-02-26,no
472,RIY1HN7RO,506.44,2015-11-13,yes
473,6PULGI2SF,737.73,2017-04-14,yes
474,ZCV6LLA6N,831.95,2020-05-03,yes
475,36FUVCDFA,453.87,2017-03-18,no
476,A5WD2M413,401.46,2016-12-24,yes
477,KM5UZ8841,914.28,2021-10-31,yes
478,NGN5DBJKQ,506.66,2015-08-27,no
479,VJ2BKE4T7,408.18,2016-01-01,yes
480,5EUADJPJX,435.58,2016-11-06,no
481,BKYKHDF8Z,84.96,2018-08-11,yes
482,MA2VQS345,163.61,2016-08-27,yes
483,1175VHPKQ,319.49,2020-05-30,yes
484,TD49521O3,225.2,2017-01-01,yes
485,0VEGRRCTW,12.88,2019-07-27,yes
486,Y8CNZD246,801.64,2019-11-21,yes
487,6VKIVFDWO,811.05,2016-02-25,yes
488,C0C8LWM0B,588.48,2016-11-02,yes
489,STR2HXYEJ,292.8,2019-05-09,yes
490,QTGZUYOWA,540.88,2021-07-14,no
491,8PXKMKOLZ,432.91,2020-12-24,no
492,85A7WF0WG,615.04,2016-10-29,yes
493,KQ204NDHN,193.73,2021-06-03,no
494,RF1TE41DK,608.26,2020-12-03,no
