,id,type,price,order date
0,Z9LC5F8VV,daily use,824.41,2021-05-17
1,G3B0Z62GB,daily use,685.25,2019-06-12
2,76N352M0F,sports,655.67,2018-10-12
3,YQ7DP7EI7,food,604.69,2020-06-14
4,9CF0J5OT8,digital,104.18,2015-12-03
5,OQ2VGX0WO,sports,194.49,2020-12-30
6,TTIYCUFUN,clothes,834.53,2016-07-31
7,1SVRUGC18,clothes,285.21,2020-10-03
8,HOQDHJPVQ,food,48.66,2017-06-10
9,SW2Z7VZ8S,food,557.76,2020-01-08
10,82K2DZH0S,digital,666.1,2018-01-30
11,898YEO2BN,food,54.83,2018-10-04
12,SO5RKMD4R,clothes,756.2,2018-07-26
13,6HKZ0PGAM,office supplies,244.16,2021-11-18
14,6DJIKO7R1,digital,338.71,2019-09-03
15,0O3B2ZX4F,clothes,283.72,2018-12-06
16,UZLU29A93,clothes,395.19,2016-10-01
17,J5NP6T5TE,sports,139.59,2017-03-22
18,RX4ST7KPK,sports,522.38,2015-03-08
19,BFH80975S,digital,729.42,2018-07-04
20,SBPAQR432,food,271.1,2016-10-25
21,PBZ65P9GW,office supplies,3.01,2019-07-15
22,LCWGYMU76,daily use,303.09,2019-07-31
23,C105BZ5FT,daily use,19.6,2016-02-13
24,F0LTKAHQO,sports,270.39,2021-03-06
25,SUEGK1VVB,sports,19.54,2018-10-18
26,EIBAF8GKM,sports,42.29,2016-01-25
27,WD0YXFA5S,daily use,257.44,2017-09-01
28,AKE1503OY,sports,540.23,2020-11-05
29,O60UQYY51,clothes,58.0,2020-08-21
30,7ZW1SYSQO,daily use,214.76,2016-10-09
31,CFKEDV7DC,daily use,542.08,2016-02-24
32,4ET6IT7M2,office supplies,687.07,2020-05-13
33,PWHJ73IPD,daily use,952.13,2017-12-12
34,BSTGF67PQ,digital,460.3,2020-06-18
35,L2IKJO866,food,675.71,2019-10-11
36,JK82Y7NY2,sports,11.66,2016-04-05
37,4PXRIB83F,sports,324.27,2015-09-16
38,3ED1QHWMJ,digital,441.28,2018-09-22
39,ZWWUGHXK0,office supplies,256.26,2018-07-12
40,XXV5IOK1G,digital,609.44,2016-03-27
41,P1BLERMB5,food,699.37,2017-11-05
42,CTISP08N5,food,41.62,2015-11-13
43,N7ZFKOF1N,food,350.72,2018-12-02
44,EH6IG5TTF,food,451.02,2018-06-13
45,Q7EOJ2WCJ,digital,774.37,2018-07-20
46,POHOCJY2Y,clothes,217.74,2015-07-19
47,QU7UKLSIX,office supplies,714.75,2016-10-07
48,HOL1HFRHP,food,678.73,2015-07-31
49,HJ4M21NJZ,digital,372.86,2015-06-17
50,LQWJJ2A80,food,193.75,2018-07-11
51,9CLOAGVRV,clothes,599.84,2019-07-31
52,1BN70K2M2,daily use,810.67,2021-09-25
53,H8G8Z5OEM,sports,16.06,2021-02-14
54,EL31EFIU2,daily use,417.32,2019-01-11
55,ES8X4DMP6,daily use,969.24,2015-08-03
56,T6Q6NWYTR,sports,177.17,2017-08-27
57,Q53TN6T3R,food,710.99,2019-08-25
58,14XTOKB8C,digital,296.54,2015-10-03
59,O5O71CI3Z,digital,440.71,2015-12-13
60,YCPDW4ZDW,sports,122.57,2019-03-07
61,7XPJ8X4SK,digital,827.4,2020-10-05
62,PJTBHH5EO,daily use,809.1,2019-03-03
63,KNJ2UE4V4,daily use,835.72,2017-06-29
64,8JY9RGWLO,clothes,196.18,2020-01-02
65,O4SONX7K6,sports,863.64,2018-08-28
66,8TXPU64WO,clothes,851.95,2015-09-18
67,J3UBH8PNA,digital,56.79,2020-08-25
68,IJPRW3A0F,digital,77.14,2021-02-25
69,NQDCN9F7K,food,183.88,2020-02-02
70,DJ3LB0VWE,daily use,760.91,2015-05-08
71,9DZNLOR6B,food,505.87,2016-02-29
72,UDMP8VU7G,daily use,605.72,2016-08-14
73,W7R6164PQ,daily use,863.53,2020-02-01
74,6FPBKKBW5,food,76.16,2020-01-17
75,V2IB2BF7M,daily use,885.81,2016-03-21
76,8AL1M41L4,sports,725.72,2015-06-15
77,EL8VU4O40,clothes,570.26,2019-12-16
78,HX9THEP9C,sports,941.47,2015-04-09
79,CWDAFM0AJ,sports,36.84,2017-12-03
80,3ZT2LOX9H,sports,256.09,2018-01-04
81,TPIEHU64W,sports,803.48,2017-06-26
82,1HNNVDDJ3,food,969.09,2017-08-16
83,DZM963W7Q,food,858.19,2019-02-23
84,F3DKRL2P4,sports,2.21,2016-12-13
85,OCMMVZJ48,sports,854.83,2017-08-10
86,K9MHWD5Z2,clothes,624.0,2021-07-25
87,PP41YFJOS,food,487.78,2019-06-07
88,PGUSAOO4M,digital,462.04,2015-07-15
89,QJWGJOW00,daily use,330.28,2021-05-14
90,N5MAE1YCP,sports,255.22,2016-03-29
91,2P0Q2Y8RV,office supplies,525.04,2018-09-26
92,7TPKR832N,food,361.69,2017-02-14
93,DD61GX4XN,sports,82.15,2018-08-10
94,HZZOI0MJB,office supplies,66.37,2021-11-26
95,B39KVZ10A,digital,758.63,2019-05-01
96,LLEDMRXOC,food,85.35,2018-01-25
97,Z7VQHSVM9,digital,57.49,2016-09-27
98,LHHQBWU5C,daily use,523.9,2021-09-19
99,WINU7RYUU,office supplies,248.19,2016-06-23
100,6C444CTKU,clothes,828.17,2019-06-07
