,id,price,number,order date
0,1RM79OT7L,605.8609245559019,0,2021-03-03
1,Z5ORC2U7E,473.7888307254309,2,2018-05-23
2,7GLGLOL1P,671.0950908584717,9,2021-05-19
3,YTO14I947,48.18640752343606,10,2018-10-16
4,3OUP3QRK4,361.2944644932736,9,2020-11-30
5,PGAHJ0NDK,807.0336086014883,8,2021-06-02
6,84VJ2W4F8,798.4107188925333,8,2019-04-30
7,JDJS8WOVR,578.7729310375969,6,2017-04-10
8,B44UFLL0G,555.5354355775262,7,2021-10-21
9,G10B06FCA,337.7972406321518,0,2018-01-12
10,8MUSJVEK0,373.3670925474566,3,2017-11-21
11,9850RM0WD,439.82358139719,10,2020-03-15
12,YLFEAVE57,944.2160598583167,6,2020-07-18
13,4W11QB6MU,429.8199222347041,8,2018-07-12
14,KX4ZNIZIE,28.389621487910578,0,2018-08-16
15,3XSIBQ2TW,301.11060939730385,8,2016-09-15
16,2G5P50714,905.4515499231926,3,2015-09-06
17,DJP5L6C17,356.57716069272607,4,2018-05-18
18,S1E08NLIQ,487.20275375551324,4,2019-07-07
19,8FNYSIJZ0,758.0232106183998,10,2017-10-27
20,A1Y4GJSKW,976.8384381270981,1,2015-11-21
21,JPAOL0C6L,685.063110829305,4,2016-07-15
22,JLAIYFI3W,743.6888961846381,0,2018-10-10
23,M51VVXNZ9,134.83832034077093,2,2015-02-01
24,M2D0X18HQ,897.1250807255926,5,2020-02-01
25,RZWOPKT0G,9.534559560838707,1,2020-01-17
26,I9Q1F1QGO,118.142555929033,4,2018-01-10
27,363NM7IJX,346.91173605219007,6,2021-09-11
28,FKIMECTFO,937.6965276030078,5,2016-02-22
29,RY4ZKVK46,281.7518382727959,1,2017-07-01
30,WY82LTPYX,651.1901586619745,4,2021-12-28
31,A8IQIRDHW,143.02583839268414,3,2021-01-27
32,5V28VPAPA,840.2484786143282,9,2021-06-14
33,B74C1NEH1,345.81393253425875,3,2020-08-07
34,F5FW9METP,918.5536759491248,8,2019-06-01
35,NYRPDSKFE,63.531811845993325,3,2019-09-17
36,DPPZ294TQ,728.931231111578,2,2021-07-12
37,XCS2NU4UD,68.48022195095061,10,2017-09-24
38,ZJLWED5GD,662.1765254120327,10,2015-08-28
39,63ADJD4RO,67.63039151176397,1,2020-03-07
40,83DOHRTP5,820.9173441274123,4,2018-04-27
41,5L33EAE8U,570.843393456857,7,2016-08-23
42,VO09DDYQ3,586.5007418221987,4,2016-07-25
43,JL4BCM7YV,521.4212755698062,5,2017-04-04
44,U300DA8IX,268.7732287282244,2,2020-06-26
45,EZ0GJI76C,415.1657299516114,1,2021-04-01
46,0VIS3AZO9,311.7885149412005,4,2021-06-27
47,R2LQPEZ1I,178.24172926763538,8,2021-05-31
48,HNRW9SAUJ,773.9639221759746,7,2021-09-21
49,O41L6R29N,264.5061572727541,8,2017-12-08
50,IYFVOKUF2,335.7791017886693,10,2015-02-06
51,1W9FJXAYE,987.1718974850801,5,2021-02-10
52,S9JQYLV4K,754.5453507584958,4,2015-02-08
53,J6YGH2MCY,237.09082732012843,10,2021-09-22
54,A4F6R0IUT,960.6204449604187,10,2016-10-24
55,F5KQEKAKS,557.2218224531692,1,2015-04-21
