date,place,number
2021-12-19,上海,16
2021-12-19,广西,14
2021-12-19,广东,8
2021-12-19,内蒙古,7
2021-12-19,甘肃,7
2021-12-19,北京,3
2021-12-19,浙江,2
2021-12-19,云南,2
2021-12-19,天津,1
2021-12-19,辽宁,1
2021-12-19,江苏,1
2021-12-19,湖南,1
2021-12-19,四川,1
2021-12-19,陕西,1
2021-12-19,广东,2
2021-12-19,辽宁,1
2021-12-19,浙江,1
2021-12-19,四川,1
2021-12-19,陕西,24
2021-12-19,西安市,21
2021-12-19,延安市,2
2021-12-19,咸阳市,1
2021-12-19,浙江,10
2021-12-19,绍兴市,9
2021-12-19,杭州市,1
2021-12-19,广东,2
2021-12-19,北京,1
2021-12-18,上海,14
2021-12-18,广西,7
2021-12-18,广东,5
2021-12-18,辽宁,3
2021-12-18,云南,3
2021-12-18,甘肃,3
2021-12-18,福建,2
2021-12-18,天津,1
2021-12-18,四川,1
2021-12-18,天津,1
2021-12-18,四川,1
2021-12-18,浙江,31
2021-12-18,绍兴市,25
2021-12-18,宁波市,6
2021-12-18,陕西,10
2021-12-18,广东,3
2021-12-18,东莞市,2
2021-12-18,广州市,1
2021-12-17,上海,12
2021-12-17,广西,10
2021-12-17,广东,5
2021-12-17,天津,2
2021-12-17,湖南,2
2021-12-17,北京,1
2021-12-17,吉林,1
2021-12-17,福建,1
2021-12-17,山东,1
2021-12-17,云南,1
2021-12-17,湖南,2
2021-12-17,广东,1
2021-12-17,浙江,77
2021-12-17,绍兴市,69
2021-12-17,杭州市,4
2021-12-17,宁波市,4
2021-12-17,陕西,7
2021-12-17,广东,2
2021-12-17,内蒙古,1
2021-12-17,上海,1
2021-12-17,福建,1
2021-12-16,广西,7
2021-12-16,云南,5
2021-12-16,广东,4
2021-12-16,上海,3
2021-12-16,北京,1
2021-12-16,浙江,44
2021-12-16,绍兴市,40
2021-12-16,杭州市,2
2021-12-16,宁波市,2
2021-12-16,陕西,5
2021-12-16,西安市,4
2021-12-16,延安市,1
2021-12-16,内蒙古,4
2021-12-16,广东,2
2021-12-16,广州市,1
2021-12-16,东莞市,1
2021-12-16,四川,1
2021-12-15,福建,3
2021-12-15,上海,2
2021-12-15,湖北,1
2021-12-15,云南,1
2021-12-15,陕西,1
2021-12-15,浙江,56
2021-12-15,绍兴市,48
2021-12-15,宁波市,5
2021-12-15,杭州市,3
2021-12-15,广东,6
2021-12-15,陕西,4
2021-12-15,内蒙古,2
2021-12-15,安徽,1
2021-12-14,陕西,4
2021-12-14,上海,3
2021-12-14,云南,3
2021-12-14,广东,2
2021-12-14,广西,2
2021-12-14,吉林,1
2021-12-14,浙江,1
2021-12-14,山东,1
2021-12-14,浙江,45
2021-12-14,绍兴市,39
2021-12-14,宁波市,6
2021-12-14,内蒙古,3
2021-12-14,广东,2
2021-12-13,广西,7
2021-12-13,上海,6
2021-12-13,广东,4
2021-12-13,云南,3
2021-12-13,福建,2
2021-12-13,浙江,1
2021-12-13,河南,1
2021-12-13,湖南,1
2021-12-13,河南,1
2021-12-13,广西,1
2021-12-13,浙江,44
2021-12-13,绍兴市,38
2021-12-13,宁波市,4
2021-12-13,杭州市,2
2021-12-13,内蒙古,5
2021-12-13,黑龙江,1
2021-12-13,陕西,1
2021-12-12,上海,5
2021-12-12,广东,5
2021-12-12,广西,4
2021-12-12,北京,2
2021-12-12,云南,2
